epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,65915.4,0.58143,1.11151,0.54637,1.00774,0.72121,0.85087,0.82366,0.72578,0.71835,0.85011,0.81525,0.69097,0.4747,1.05697,0.78829,0.82118,0.005743,0.005743,0.005743
45,66571,0.58203,1.12379,0.55078,1.00798,0.72175,0.84481,0.82392,0.72586,0.71924,0.84356,0.81698,0.69157,0.47293,1.06203,0.78696,0.8205,0.005644,0.005644,0.005644
46,67227.4,0.57738,1.09736,0.54133,1.0045,0.72037,0.84709,0.82426,0.72787,0.71515,0.84954,0.81725,0.69181,0.47197,1.0608,0.78589,0.82003,0.005545,0.005545,0.005545
47,67882.5,0.5723,1.09768,0.53632,1.00325,0.72355,0.84801,0.8256,0.72892,0.71907,0.8486,0.81749,0.69414,0.47072,1.06709,0.78733,0.81786,0.005446,0.005446,0.005446
48,68536.6,0.57603,1.10358,0.53898,1.00346,0.72536,0.84709,0.82491,0.72905,0.72293,0.84481,0.81756,0.69367,0.47049,1.06223,0.78785,0.81668,0.005347,0.005347,0.005347
49,69192.3,0.57105,1.09781,0.53723,1.00073,0.72325,0.84633,0.82552,0.72917,0.72093,0.8433,0.81769,0.69359,0.46845,1.06337,0.78633,0.81353,0.005248,0.005248,0.005248
50,69846.4,0.56692,1.07833,0.52998,0.99868,0.71975,0.8457,0.82478,0.73011,0.71821,0.8433,0.81801,0.69452,0.46555,1.05644,0.7871,0.81171,0.005149,0.005149,0.005149
51,73417.9,0.56513,1.08103,0.52871,0.99839,0.72149,0.8433,0.82556,0.7311,0.71889,0.84027,0.81823,0.69432,0.46572,1.05638,0.78637,0.81188,0.00505,0.00505,0.00505
52,74070.8,0.56385,1.08132,0.52624,0.99613,0.72035,0.84432,0.82556,0.73109,0.71652,0.83952,0.81763,0.69527,0.46402,1.06079,0.78693,0.80998,0.004951,0.004951,0.004951
53,74723.4,0.56139,1.07086,0.51684,0.9937,0.72012,0.84533,0.82587,0.73206,0.71776,0.83952,0.81815,0.69486,0.46278,1.05879,0.78811,0.80958,0.004852,0.004852,0.004852
